Date,Open,High,Low,Close,Volume,Adj Close
2016-12-29,116.449997,117.110001,116.400002,116.730003,14963300,116.730003
2016-12-28,117.519997,118.019997,116.199997,116.760002,20582000,116.760002
2016-12-27,116.519997,117.800003,116.489998,117.260002,18071900,117.260002
2016-12-23,115.589996,116.519997,115.589996,116.519997,14181200,116.519997
2016-12-22,116.349998,116.510002,115.639999,116.290001,25789800,116.290001
2016-12-21,116.800003,117.400002,116.779999,117.059998,24216900,117.059998
2016-12-20,116.739998,117.50,116.68,116.949997,20905800,116.949997
2016-12-19,115.800003,117.379997,115.75,116.639999,27675400,116.639999
2016-12-16,116.470001,116.50,115.650002,115.970001,44055400,115.970001
2016-12-15,115.379997,116.730003,115.230003,115.82,46232200,115.82
2016-12-14,115.040001,116.199997,114.980003,115.190002,33433200,115.190002
2016-12-13,113.839996,115.919998,113.75,115.190002,43167500,115.190002
2016-12-12,113.290001,115.00,112.489998,113.300003,26149100,113.300003
2016-12-09,112.309998,114.699997,112.309998,113.949997,34274100,113.949997
2016-12-08,110.860001,112.43,110.599998,112.120003,26818500,112.120003
2016-12-07,109.260002,111.190002,109.160004,111.029999,29853000,111.029999
2016-12-06,109.50,110.360001,109.190002,109.949997,26075900,109.949997
2016-12-05,110.00,110.029999,108.25,109.110001,34037300,109.110001
2016-12-02,109.169998,110.089996,108.849998,109.900002,26409800,109.900002
2016-12-01,110.370003,110.940002,109.029999,109.489998,36825800,109.489998
2016-11-30,111.599998,112.199997,110.269997,110.519997,35765000,110.519997
