Date,Open,High,Low,Close,Volume,Adj Close
2016-12-29,29.10,29.469999,28.959999,29.360001,3976600,29.360001
2016-12-28,29.40,29.40,28.799999,29.01,3701100,29.01
2016-12-27,29.26,29.49,29.15,29.370001,2444800,29.370001
2016-12-23,29.280001,29.40,29.07,29.26,2148300,29.26
2016-12-22,29.34,29.43,28.889999,29.18,3363100,29.18
2016-12-21,30.02,30.290001,29.33,29.370001,2766900,29.370001
2016-12-20,30.209999,30.42,29.809999,30.02,3410600,30.02
2016-12-19,29.41,30.43,29.41,30.299999,4521700,30.299999
2016-12-16,28.459999,29.26,28.41,29.139999,8152300,29.139999
2016-12-15,28.969999,29.049999,28.299999,28.41,6883500,28.41
2016-12-14,30.40,30.459999,28.969999,29.01,6573600,29.01
2016-12-13,30.549999,30.68,30.040001,30.389999,4731200,30.389999
2016-12-12,29.91,30.360001,29.73,30.35,4211300,30.35
2016-12-09,30.190001,30.58,29.950001,30.040001,4321800,30.040001
2016-12-08,29.870001,30.440001,29.700001,30.110001,4603800,30.110001
2016-12-07,29.549999,30.190001,29.50,30.129999,3750900,30.129999
2016-12-06,29.280001,29.629999,29.190001,29.43,3349400,29.43
2016-12-05,29.15,29.26,28.82,29.23,3168500,29.23
2016-12-02,28.76,29.459999,28.76,29.08,2701800,29.08
2016-12-01,29.33,29.35,28.42,28.610001,4197400,28.610001
2016-11-30,29.33,29.67,29.01,29.530001,5478900,29.530001
